ID,Edad,Genero,Ingresos,Empleo,Hijos,Autoestima,Motivacion,Ansiedad,Apoyo_Familiar,Riesgo_Abandono
1,25,M,Bajo,Sí,Sí,3,4,Sí,No,Sí
2,30,F,Medio,No,No,4,5,No,Sí,No
3,22,M,Bajo,Sí,No,2,3,Sí,No,Sí
4,35,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
5,28,F,Medio,No,No,5,5,No,Sí,No
6,40,M,Alto,Sí,Sí,4,4,No,Sí,No
7,29,F,Bajo,No,Sí,2,3,Sí,No,Sí
8,33,M,Medio,Sí,No,3,4,No,Sí,No
9,27,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
10,31,M,Alto,No,No,5,5,No,Sí,No
11,24,F,Bajo,Sí,No,2,3,Sí,No,Sí
12,36,M,Medio,Sí,Sí,4,4,No,Sí,No
13,26,F,Bajo,No,Sí,1,2,Sí,No,Sí
14,32,M,Alto,Sí,No,5,5,No,Sí,No
15,23,F,Bajo,Sí,No,2,3,Sí,No,Sí
16,34,M,Medio,No,Sí,3,4,No,Sí,No
17,28,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
18,37,M,Alto,Sí,No,5,5,No,Sí,No
19,21,F,Bajo,No,No,2,3,Sí,No,Sí
20,38,M,Medio,Sí,Sí,4,4,No,Sí,No
21,29,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
22,39,M,Alto,No,No,5,5,No,Sí,No
23,20,F,Bajo,Sí,No,2,3,Sí,No,Sí
24,40,M,Medio,Sí,Sí,3,4,No,Sí,No
25,30,F,Bajo,No,Sí,1,2,Sí,No,Sí
26,35,M,Alto,Sí,No,5,5,No,Sí,No
27,22,F,Bajo,Sí,No,2,3,Sí,No,Sí
28,33,M,Medio,No,Sí,4,4,No,Sí,No
29,27,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
30,31,M,Alto,Sí,No,5,5,No,Sí,No
31,24,F,Bajo,Sí,No,2,3,Sí,No,Sí
32,36,M,Medio,Sí,Sí,4,4,No,Sí,No
33,26,F,Bajo,No,Sí,1,2,Sí,No,Sí
34,32,M,Alto,Sí,No,5,5,No,Sí,No
35,23,F,Bajo,Sí,No,2,3,Sí,No,Sí
36,34,M,Medio,No,Sí,3,4,No,Sí,No
37,28,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
38,37,M,Alto,Sí,No,5,5,No,Sí,No
39,21,F,Bajo,No,No,2,3,Sí,No,Sí
40,38,M,Medio,Sí,Sí,4,4,No,Sí,No
41,29,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
42,39,M,Alto,No,No,5,5,No,Sí,No
43,20,F,Bajo,Sí,No,2,3,Sí,No,Sí
44,40,M,Medio,Sí,Sí,3,4,No,Sí,No
45,30,F,Bajo,No,Sí,1,2,Sí,No,Sí
46,35,M,Alto,Sí,No,5,5,No,Sí,No
47,22,F,Bajo,Sí,No,2,3,Sí,No,Sí
48,33,M,Medio,No,Sí,4,4,No,Sí,No
49,27,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
50,31,M,Alto,Sí,No,5,5,No,Sí,No
51,24,F,Bajo,Sí,No,2,3,Sí,No,Sí
52,36,M,Medio,Sí,Sí,4,4,No,Sí,No
53,26,F,Bajo,No,Sí,1,2,Sí,No,Sí
54,32,M,Alto,Sí,No,5,5,No,Sí,No
55,23,F,Bajo,Sí,No,2,3,Sí,No,Sí
56,34,M,Medio,No,Sí,3,4,No,Sí,No
57,28,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
58,37,M,Alto,Sí,No,5,5,No,Sí,No
59,21,F,Bajo,No,No,2,3,Sí,No,Sí
60,38,M,Medio,Sí,Sí,4,4,No,Sí,No
61,29,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
62,39,M,Alto,No,No,5,5,No,Sí,No
63,20,F,Bajo,Sí,No,2,3,Sí,No,Sí
64,40,M,Medio,Sí,Sí,3,4,No,Sí,No
65,30,F,Bajo,No,Sí,1,2,Sí,No,Sí
66,35,M,Alto,Sí,No,5,5,No,Sí,No
67,22,F,Bajo,Sí,No,2,3,Sí,No,Sí
68,33,M,Medio,No,Sí,4,4,No,Sí,No
69,27,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
70,31,M,Alto,Sí,No,5,5,No,Sí,No
71,24,F,Bajo,Sí,No,2,3,Sí,No,Sí
72,36,M,Medio,Sí,Sí,4,4,No,Sí,No
73,26,F,Bajo,No,Sí,1,2,Sí,No,Sí
74,32,M,Alto,Sí,No,5,5,No,Sí,No
75,23,F,Bajo,Sí,No,2,3,Sí,No,Sí
76,34,M,Medio,No,Sí,3,4,No,Sí,No
77,28,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
78,37,M,Alto,Sí,No,5,5,No,Sí,No
79,21,F,Bajo,No,No,2,3,Sí,No,Sí
80,38,M,Medio,Sí,Sí,4,4,No,Sí,No
81,29,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
82,39,M,Alto,No,No,5,5,No,Sí,No
83,20,F,Bajo,Sí,No,2,3,Sí,No,Sí
84,40,M,Medio,Sí,Sí,3,4,No,Sí,No
85,30,F,Bajo,No,Sí,1,2,Sí,No,Sí
86,35,M,Alto,Sí,No,5,5,No,Sí,No
87,22,F,Bajo,Sí,No,2,3,Sí,No,Sí
88,33,M,Medio,No,Sí,4,4,No,Sí,No
89,27,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
90,31,M,Alto,Sí,No,5,5,No,Sí,No
91,24,F,Bajo,Sí,No,2,3,Sí,No,Sí
92,36,M,Medio,Sí,Sí,4,4,No,Sí,No
93,26,F,Bajo,No,Sí,1,2,Sí,No,Sí
94,32,M,Alto,Sí,No,5,5,No,Sí,No
95,23,F,Bajo,Sí,No,2,3,Sí,No,Sí
96,34,M,Medio,No,Sí,3,4,No,Sí,No
97,28,F,Bajo,Sí,Sí,1,2,Sí,No,Sí
98,37,M,Alto,Sí,No,5,5,No,Sí,No
99,21,F,Bajo,No,No,2,3,Sí,No,Sí
100,38,M,Medio,Sí,Sí,4,4,No,Sí,No
... (continuar hasta 300 filas)
